gain_setting,component,model,term,alpha_refit
L0,PC1,linear,1,-0.01878916808496138
L0,PC1,linear,THERM_FPGA,-1.2780079375584443e-06
L0,PC1,linear,SPE_ADC0_T,-5.712720767219132e-06
L0,PC1,linear,VMON_1V2D,0.01524175979466431
L0,PC1,linear,SPE_1VAD8_C,0.004063603775329118
L0,PC1,quadratic,THERM_FPGA,3.3910981228442966e-05
L0,PC1,quadratic,SPE_ADC0_T,-5.648170798062801e-05
L0,PC1,quadratic,VMON_1V2D,0.000574589070932062
L0,PC1,quadratic,THERM_FPGA*THERM_FPGA,7.329313727951845e-07
L0,PC1,quadratic,SPE_ADC0_T*SPE_ADC0_T,1.305966526436951e-06
L0,PC1,quadratic,THERM_FPGA*SPE_ADC0_T,-1.9069173956372991e-06
M0,PC1,linear,1,-4.163831248731722
M0,PC1,linear,THERM_FPGA,6.894948208777119e-05
M0,PC1,linear,SPE_ADC0_T,-0.00033773925734327526
M0,PC1,linear,SPE_1VAD8_V,0.8611325542676084
M0,PC1,linear,VMON_1V2D,1.9848356389174338
M0,PC1,linear,SPE_1VAD8_C,0.8010721753458014
M0,PC1,quadratic,THERM_FPGA,0.0027113052904544047
M0,PC1,quadratic,SPE_ADC0_T,-0.004145992938029472
M0,PC1,quadratic,SPE_1VAD8_C,0.2347834211626791
M0,PC1,quadratic,THERM_FPGA*THERM_FPGA,6.0819305587897585e-05
M0,PC1,quadratic,SPE_ADC0_T*SPE_ADC0_T,0.00010997906874067685
M0,PC1,quadratic,THERM_FPGA*SPE_ADC0_T,-0.0001627914938299611
H0,PC1,linear,1,-56.37242075484558
H0,PC1,linear,THERM_FPGA,0.002068011863759933
H0,PC1,linear,SPE_ADC0_T,-0.020221230138430912
H0,PC1,linear,VMON_1V2D,46.19672419051987
H0,PC1,linear,SPE_1VAD8_C,8.760312291827873
H0,PC1,quadratic,THERM_FPGA,0.08149769383287572
H0,PC1,quadratic,SPE_ADC0_T,-0.1263288231819111
H0,PC1,quadratic,VMON_1V2D,-0.20643735005107
H0,PC1,quadratic,SPE_1VAD8_C,8.817112664447874
H0,PC1,quadratic,THERM_FPGA*THERM_FPGA,0.0019679188892451557
H0,PC1,quadratic,SPE_ADC0_T*SPE_ADC0_T,0.003271374130411814
H0,PC1,quadratic,THERM_FPGA*SPE_ADC0_T,-0.0050299593442668655
L1,PC1,linear,1,0.045101021147626805
L1,PC1,linear,THERM_FPGA,-2.8502772964230077e-06
L1,PC1,linear,SPE_ADC0_T,1.0161179789585847e-05
L1,PC1,linear,SPE_1VAD8_V,-0.0020562885475920757
L1,PC1,linear,VMON_1V2D,-0.03648268736400037
L1,PC1,linear,SPE_1VAD8_C,0.012059040417400966
L1,PC1,quadratic,1,0.019485003586894464
L1,PC1,quadratic,THERM_FPGA,-5.290197711253672e-05
L1,PC1,quadratic,SPE_ADC0_T,8.095945618057603e-05
L1,PC1,quadratic,SPE_1VAD8_V,0.006056294658639498
L1,PC1,quadratic,VMON_1V2D,-0.03146466144222649
L1,PC1,quadratic,SPE_1VAD8_C,0.030642310719258374
L1,PC1,quadratic,THERM_FPGA*THERM_FPGA,-1.04010644960765e-06
L1,PC1,quadratic,SPE_ADC0_T*SPE_ADC0_T,-2.0130345823071404e-06
L1,PC1,quadratic,THERM_FPGA*SPE_ADC0_T,2.9185585654156965e-06
M1,PC1,linear,1,0.4962191921387912
M1,PC1,linear,SPE_ADC0_T,0.0003538891083325942
M1,PC1,linear,SPE_1VAD8_V,0.31114017894641854
M1,PC1,linear,VMON_1V2D,-0.8791915078071285
M1,PC1,linear,SPE_1VAD8_C,-0.2581149200315054
M1,PC1,quadratic,1,-0.5282519984342187
M1,PC1,quadratic,THERM_FPGA,-0.0013871144644745264
M1,PC1,quadratic,SPE_ADC0_T,0.0022080841518074246
M1,PC1,quadratic,SPE_1VAD8_V,0.3933923842223647
M1,PC1,quadratic,VMON_1V2D,-0.17195069005933714
M1,PC1,quadratic,SPE_1VAD8_C,-0.230168193029035
M1,PC1,quadratic,THERM_FPGA*THERM_FPGA,-3.315356682195912e-05
M1,PC1,quadratic,SPE_ADC0_T*SPE_ADC0_T,-5.4442306795631575e-05
M1,PC1,quadratic,THERM_FPGA*SPE_ADC0_T,8.407697071738677e-05
H1,PC1,linear,1,93.89746888733302
H1,PC1,linear,THERM_FPGA,-0.006356117716272092
H1,PC1,linear,SPE_ADC0_T,0.020624779702024254
H1,PC1,linear,SPE_1VAD8_V,-6.677559454840519
H1,PC1,linear,VMON_1V2D,-66.26185985543354
H1,PC1,linear,SPE_1VAD8_C,-12.298620089822567
H1,PC1,quadratic,THERM_FPGA,-0.05319780588571036
H1,PC1,quadratic,SPE_ADC0_T,0.08303200798450096
H1,PC1,quadratic,SPE_1VAD8_V,19.52259236917044
H1,PC1,quadratic,VMON_1V2D,-32.03687371463313
H1,PC1,quadratic,THERM_FPGA*THERM_FPGA,-0.0012713660641428745
H1,PC1,quadratic,SPE_ADC0_T*SPE_ADC0_T,-0.0019336956087698393
H1,PC1,quadratic,THERM_FPGA*SPE_ADC0_T,0.0031277420933839145
L2,PC1,linear,1,0.03486757918379653
L2,PC1,linear,THERM_FPGA,-3.9003633387118056e-06
L2,PC1,linear,SPE_ADC1_T,1.2535764655262219e-05
L2,PC1,linear,VMON_1V2D,-0.029712371223425165
L2,PC1,linear,SPE_1VAD8_C,0.0020900029025539813
L2,PC1,quadratic,THERM_FPGA,-2.274773802126594e-05
L2,PC1,quadratic,SPE_ADC1_T,4.2298230299783286e-05
L2,PC1,quadratic,SPE_1VAD8_V,0.005835444836117698
L2,PC1,quadratic,VMON_1V2D,-0.011730671473762439
L2,PC1,quadratic,SPE_1VAD8_C,0.01211987445290444
L2,PC1,quadratic,THERM_FPGA*THERM_FPGA,-4.279651573916245e-07
L2,PC1,quadratic,SPE_ADC1_T*SPE_ADC1_T,-5.711992309128903e-07
L2,PC1,quadratic,THERM_FPGA*SPE_ADC1_T,8.995560746432338e-07
M2,PC1,linear,1,1.0947279666360674
M2,PC1,linear,THERM_FPGA,6.184385596295569e-05
M2,PC1,linear,SPE_ADC1_T,0.000322355389234516
M2,PC1,linear,SPE_1VAD8_V,-0.09827062763549087
M2,PC1,linear,VMON_1V2D,-0.7290502014842382
M2,PC1,linear,SPE_1VAD8_C,-0.24044078756784384
M2,PC1,quadratic,1,-1.8164595267079262
M2,PC1,quadratic,THERM_FPGA,-0.0009950272501442602
M2,PC1,quadratic,SPE_ADC1_T,0.001760426260940933
M2,PC1,quadratic,SPE_1VAD8_V,0.7680299613805193
M2,PC1,quadratic,VMON_1V2D,0.25056985428689366
M2,PC1,quadratic,SPE_1VAD8_C,0.13336463189701458
M2,PC1,quadratic,THERM_FPGA*THERM_FPGA,-3.102148813667892e-05
M2,PC1,quadratic,SPE_ADC1_T*SPE_ADC1_T,-4.200478515326361e-05
M2,PC1,quadratic,THERM_FPGA*SPE_ADC1_T,7.103908460946023e-05
H2,PC1,linear,THERM_FPGA,-0.0067053902386564794
H2,PC1,linear,SPE_ADC1_T,0.030074765198391133
H2,PC1,linear,SPE_1VAD8_V,25.267334799713705
H2,PC1,linear,VMON_1V2D,-40.94009260583315
H2,PC1,quadratic,1,-44.378000294527226
H2,PC1,quadratic,THERM_FPGA,-0.075988054893742
H2,PC1,quadratic,SPE_ADC1_T,0.12062532736434509
H2,PC1,quadratic,SPE_1VAD8_V,40.703078483832456
H2,PC1,quadratic,VMON_1V2D,-30.467589412886653
H2,PC1,quadratic,SPE_1VAD8_C,8.618609666984232
H2,PC1,quadratic,THERM_FPGA*THERM_FPGA,-0.0017978005940126364
H2,PC1,quadratic,SPE_ADC1_T*SPE_ADC1_T,-0.002937354625174214
H2,PC1,quadratic,THERM_FPGA*SPE_ADC1_T,0.004598104319248494
L3,PC1,linear,1,0.013845066945591308
L3,PC1,linear,THERM_FPGA,-7.246357872070877e-06
L3,PC1,linear,SPE_ADC1_T,1.8504603186422493e-05
L3,PC1,linear,SPE_1VAD8_V,0.01371937383352816
L3,PC1,linear,VMON_1V2D,-0.03559292014531955
L3,PC1,linear,SPE_1VAD8_C,0.011292911248887236
L3,PC1,quadratic,1,-0.029508679221848026
L3,PC1,quadratic,THERM_FPGA,-5.794243966669929e-05
L3,PC1,quadratic,SPE_ADC1_T,9.443241318135384e-05
L3,PC1,quadratic,SPE_1VAD8_V,0.024979055085043098
L3,PC1,quadratic,VMON_1V2D,-0.018820731738485506
L3,PC1,quadratic,SPE_1VAD8_C,0.016969763858482593
L3,PC1,quadratic,THERM_FPGA*THERM_FPGA,-1.0734496569973274e-06
L3,PC1,quadratic,SPE_ADC1_T*SPE_ADC1_T,-2.069168923560551e-06
L3,PC1,quadratic,THERM_FPGA*SPE_ADC1_T,2.9203070972651887e-06
M3,PC1,linear,1,1.1653230147192475
M3,PC1,linear,SPE_ADC1_T,0.00036699008770938596
M3,PC1,linear,SPE_1VAD8_V,-0.08117119799794183
M3,PC1,linear,VMON_1V2D,-0.8159758017151607
M3,PC1,linear,SPE_1VAD8_C,-0.23694786727329278
M3,PC1,quadratic,1,0.03259755858160996
M3,PC1,quadratic,SPE_ADC1_T,0.0004929211434171426
M3,PC1,quadratic,SPE_1VAD8_C,-0.240249066437288
M3,PC1,quadratic,THERM_FPGA*THERM_FPGA,-1.899593831600026e-06
H3,PC1,linear,1,-60.46381064925147
H3,PC1,linear,THERM_FPGA,0.006943869668518232
H3,PC1,linear,SPE_ADC1_T,-0.025771224161510897
H3,PC1,linear,VMON_1V2D,49.90702320946741
H3,PC1,linear,SPE_1VAD8_C,7.201894231594303
H3,PC1,quadratic,1,77.16631055104791
H3,PC1,quadratic,THERM_FPGA,0.007466261915328551
